names,ratings,classified,school_address,zipcode,types,grades,student_nums,st_ratios,districts
Glenarden Woods Elementary School,10/10,Above average,"9850 Good Luck Road, Lanham, MD", 20706,Public district,2-5,479,15:1,Prince George's County Public Schools
Ocean City Elementary School,10/10,Above average,"12828 Center Drive, Ocean City, MD", 21842,Public district,PK-4,638,16:1,Worcester County Public Schools
Urbana Middle School,9/10,Above average,"3511 Pontius Court, Ijamsville, MD", 21754,Public district,6-8,843,17:1,Frederick County Public Schools
Matapeake Middle School,9/10,Above average,"671 Romancoke Road, Stevensville, MD", 21666,Public district,6-8,450,15:1,Queen Anne's County Public Schools
Frost Elementary School,10/10,Above average,"260 Shaw Street, Frostburg, MD", 21532,Public district,PK-5,245,17:1,Allegany County Public Schools
Four Seasons Elementary School,10/10,Above average,"979 Waugh Chapel Road, Gambrills, MD", 21054,Public district,PK-5,597,15:1,Anne Arundel County Public Schools
Barbara Ingram School For The Arts,9/10,Above average,"711 South Potomac Street, Hagerstown, MD", 21740,Public district,9-12,287,11:1,Washington County Public Schools
Linthicum Elementary School,8/10,Above average,"101 School Lane, Linthicum Heights, MD", 21090,Public district,K-5,445,15:1,Anne Arundel County Public Schools
Pershing Hill Elementary,8/10,Above average,"7600 29th Division Road, Fort Meade, MD", 20755,Public district,K-5,649,14:1,Anne Arundel County Public Schools
Hampstead Elementary School,9/10,Above average,"3737 Shiloh Road, Hampstead, MD", 21074,Public district,PK-5,347,6:1,Carroll County Public Schools
Carroll Manor Elementary School,8/10,Above average,"5624 Adamstown Road, Adamstown, MD", 21710,Public district,PK-5,548,17:1,Frederick County Public Schools
Parkway Elementary School,9/10,Above average,"300 Carroll Parkway, Frederick, MD", 21701,Public district,K-5,223,14:1,Frederick County Public Schools
Fallston High School,8/10,Above average,"2301 Carrs Mill Road, Fallston, MD", 21047,Public district,9-12,1056,14:1,Harford County Public Schools
North Harford Middle School,9/10,Above average,"112 Pylesville Road, Pylesville, MD", 21132,Public district,6-8,966,12:1,Harford County Public Schools
Bel Air Middle School,10/10,Above average,"99 Idlewild Street, Bel Air, MD", 21014,Public district,6-8,1257,15:1,Harford County Public Schools
Fallston Middle School,9/10,Above average,"2303 Carrs Mill Road, Fallston, MD", 21047,Public district,6-8,879,15:1,Harford County Public Schools
Clarksburg Elementary School,7/10,Above average,"13530 Redgrave Place, Clarksburg, MD", 20871,Public district,PK-5,309,12:1,Montgomery County Public Schools
Poolesville Elementary School,9/10,Above average,"19565 Fisher Avenue, Poolesville, MD", 20837,Public district,K-5,417,14:1,Montgomery County Public Schools
Heather Hills Elementary School,9/10,Above average,"12605 Heming Lane, Bowie, MD", 20716,Public district,2-5,387,16:1,Prince George's County Public Schools
White Marsh Elementary School,8/10,Above average,"29090 Thompson Corner Road, Mechanicsville, MD", 20659,Public district,K-5,244,15:1,St. Mary's County Public Schools
Stephen Decatur Middle School,8/10,Above average,"9815 Seahawk Road, Berlin, MD", 21811,Public district,7-8,615,12:1,Worcester County Public Schools
Pocomoke Elementary School,9/10,Above average,"2119 Pocomoke Beltway, Pocomoke City, MD", 21851,Public district,PK-3,389,11:1,Worcester County Public Schools
Showell Elementary School,9/10,Above average,"11318 Showell School Road, Berlin, MD", 21811,Public district,PK-3,548,14:1,Worcester County Public Schools
Dora Kennedy French Immersion,8/10,Above average,"8950 Edmonston Road, Greenbelt, MD", 20770,Public district,K-8,610,13:1,Prince George's County Public Schools
Chesapeake Science Point Public Charter School,9/10,Above average,"7321 Parkway Drive South, Hanover, MD", 21076,Public charter,6-12,462,14:1,Anne Arundel County Public Schools
Marriotts Ridge High School,9/10,Above average,"12100 Woodford Drive, Marriottsville, MD", 21104,Public district,9-12,1198,15:1,Howard County Public Schools
Urbana Elementary School,9/10,Above average,"3554 Urbana Pike, Frederick, MD", 21704,Public district,PK-5,700,19:1,Frederick County Public Schools
Little Bennett Elementary School,8/10,Above average,"23930 Burdette Forest Road, Clarksburg, MD", 20871,Public district,K-5,643,23:1,Montgomery County Public Schools
Ebb Valley Elementary School,8/10,Above average,"3100 Swiper Drive, Manchester, MD", 21102,Public district,PK-5,480,9:1,Carroll County Public Schools
Chesapeake Math and IT Academy,8/10,Above average,"6100 Frost Place, Laurel, MD", 20707,Public charter,6-12,700,16:1,Prince George's County Public Schools
