names, ratings, addresses, classes, types, grades, student_nums, st_ratios, districts, 
Glenarden Woods Elementary School,10/10,9850 Good Luck Road, Lanham, MD, 20706,Above average,Public district,2-5,479,15:1,Prince George's County Public Schools
Ocean City Elementary School,10/10,12828 Center Drive, Ocean City, MD, 21842,Above average,Public district,PK-4,638,16:1,Worcester County Public Schools
Frost Elementary School,10/10,260 Shaw Street, Frostburg, MD, 21532,Above average,Public district,PK-5,245,17:1,Allegany County Public Schools
Four Seasons Elementary School,10/10,979 Waugh Chapel Road, Gambrills, MD, 21054,Above average,Public district,PK-5,597,15:1,Anne Arundel County Public Schools
Urbana Middle School,9/10,3511 Pontius Court, Ijamsville, MD, 21754,Above average,Public district,6-8,843,17:1,Frederick County Public Schools
Matapeake Middle School,9/10,671 Romancoke Road, Stevensville, MD, 21666,Above average,Public district,6-8,450,15:1,Queen Anne's County Public Schools
Linthicum Elementary School,8/10,101 School Lane, Linthicum Heights, MD, 21090,Above average,Public district,K-5,445,15:1,Anne Arundel County Public Schools
Pershing Hill Elementary,8/10,7600 29th Division Road, Fort Meade, MD, 20755,Above average,Public district,K-5,649,14:1,Anne Arundel County Public Schools
Hampstead Elementary School,9/10,3737 Shiloh Road, Hampstead, MD, 21074,Above average,Public district,PK-5,347,6:1,Carroll County Public Schools
Carroll Manor Elementary School,8/10,5624 Adamstown Road, Adamstown, MD, 21710,Above average,Public district,PK-5,548,17:1,Frederick County Public Schools
Parkway Elementary School,9/10,300 Carroll Parkway, Frederick, MD, 21701,Above average,Public district,K-5,223,14:1,Frederick County Public Schools
Urbana Elementary School,9/10,3554 Urbana Pike, Frederick, MD, 21704,Above average,Public district,PK-5,700,19:1,Frederick County Public Schools
Fallston High School,8/10,2301 Carrs Mill Road, Fallston, MD, 21047,Above average,Public district,9-12,1056,14:1,Harford County Public Schools
North Harford Middle School,9/10,112 Pylesville Road, Pylesville, MD, 21132,Above average,Public district,6-8,966,12:1,Harford County Public Schools
Bel Air Middle School,10/10,99 Idlewild Street, Bel Air, MD, 21014,Above average,Public district,6-8,1257,15:1,Harford County Public Schools
Fallston Middle School,9/10,2303 Carrs Mill Road, Fallston, MD, 21047,Above average,Public district,6-8,879,15:1,Harford County Public Schools
Clarksburg Elementary School,7/10,13530 Redgrave Place, Clarksburg, MD, 20871,Above average,Public district,PK-5,309,12:1,Montgomery County Public Schools
Poolesville Elementary School,9/10,19565 Fisher Avenue, Poolesville, MD, 20837,Above average,Public district,K-5,417,14:1,Montgomery County Public Schools
Heather Hills Elementary School,9/10,12605 Heming Lane, Bowie, MD, 20716,Above average,Public district,2-5,387,16:1,Prince George's County Public Schools
White Marsh Elementary School,8/10,29090 Thompson Corner Road, Mechanicsville, MD, 20659,Above average,Public district,K-5,244,15:1,St. Mary's County Public Schools
Stephen Decatur Middle School,8/10,9815 Seahawk Road, Berlin, MD, 21811,Above average,Public district,7-8,615,12:1,Worcester County Public Schools
